ਮੈਂ ਖੁਦ ਨਹੀਂ ਸਮਝ ਸਕਿਆ ਕਿ ਕੀ ਹੋ ਰਿਹਾ ਹੈ |,surprise 
"ਆਪਣੇ ਕੰਮਕਾਜੀ ਜੀਵਨ ਦਾ ਆਨੰਦ ਲੈਣਾ ਇੱਕ ਅਜਿਹੀ, ਭਾਵਨਾ ਹੈ ਜਿਸ ਨੂੰ ਮੁੜ ਅਨੁਕੂਲ ਕਰਨ ਵਿੱਚ ਹੈਮਿਲਟਨ ਖੁਸ਼ ਹੈ",happy
ਜਦੋਂ ਉਨ੍ਹਾਂ ਦੇ ਪਿਤਾ ਰਾਤ ਦੇ ਖਾਣੇ 'ਤੇ ਆਏ ਤਾਂ ਉਹ ਹੈਰਾਨ ਅਤੇ ਹੈਰਾਨੀ ਨਾਲ ਭਰੇ ਹੋਏ ਸਨ|,surprise 
ਮੈਂ ਤੁਹਾਨੂੰ ਦੱਸ ਨਹੀਂ ਸਕਦਾ ਕਿ ਮੈਂ ਇੱਥੇ ਆ ਕੇ ਕਿੰਨਾ ਖੁਸ਼ ਹਾਂ,happy
ਉਹ ਜ਼ਿੰਦਗੀ ਵਿਚ ਉਦਾਸ ਅਤੇ ਇਕੱਲਾ ਹੈ|,sad
ਖਿੜਕੀ ਦੇ ਬਾਹਰ ਤੂਫਾਨ ਦਾ ਬੱਦਲ ਉਦਾਸੀ ਅਤੇ ਸੋਗ ਦਾ ਇੱਕ ਆਮ ਉਨ੍ਹੀਵੀਂ ਸਦੀ ਦਾ ਪ੍ਰਤੀਕ ਸੀ,sad
ਤੁਸੀਂ ਰੇਲ ਟਿਕਟ ਬੁੱਕ ਕਰ ਸਕਦੇ ਹੋ|,Neutral
"ਨਹੀਂ, ਪਰ ਯੂਨੀਅਨ ਆਪਣੇ ਮੈਂਬਰਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰ ਸਕਦੀ ਹੈ ਜੇਕਰ ਉਹ ਵਿੱਤੀ ਤੰਗੀ ਦਾ ਸਾਹਮਣਾ ਕਰਦੇ ਹਨ",Neutral
ਦਿਨ-ਰਾਤ ਪੁਲਿਸ ਵੱਲੋਂ ਅਚਨਚੇਤ ਚੈਕਿੰਗ ਕਰਨ ਨਾਲ ਇਸ ਖਤਰਨਾਕ ਸੜਕ ਹਾਦਸਿਆਂ ਨੂੰ ਰੋਕਿਆ ਜਾ ਸਕਦਾ ਹੈ,surprise 
ਤੁਸੀਂ ਅੱਜ ਇੰਨੇ ਉਦਾਸ ਕਿਉਂ ਹੋ?,sad
"ਉਹ! ਹੁਣੇ ਹੀ ਪਲਾਂਟ ਦੀ ਨਰਸਰੀ ਵਿੱਚ ਆਪਣੀ ਨੌਕਰੀ ਤੋਂ ਵਾਪਸ ਆਈ ਸੀ ਅਤੇ ਮੇਜ਼ 'ਤੇ ਬੈਠੀ ਸੀ, ਆਪਣੇ ਸਨੀਕਰ ਖੋਲ੍ਹ ਰਹੀ ਸੀ",Neutral
ਇਹ ਕਿਸੇ ਲਈ ਹੈਰਾਨੀ ਵਾਲੀ ਗੱਲ ਨਹੀਂ ਹੋਣੀ ਚਾਹੀਦੀ ਕਿ ਉਸਦਾ ਕਾਲਿੰਗ ਕਾਰਡ ਹੱਕਾਂ ਵਿੱਚ ਸੁਧਾਰ ਕਰ ਰਿਹਾ ਹੈ,surprise 
ਤੁਸੀਂ ਕੁਝ ਵੀ ਨਹੀਂ ਸਮਝਦੇ|,anger
"ਗੁੱਸਾ ਇੱਕ ਰਿਸ਼ੀ ਨੂੰ ਆਪਣੀ ਬੁੱਧੀ ਗੁਆ ਦੇਵੇਗਾ, ਇੱਕ ਵਿਅਕਤੀ ਜੋ ਮਹਾਨਤਾ ਲਈ ਇਸ ਨੂੰ ਗੁਆ ਦੇਵੇਗਾ",anger
ਮੇਰੀ ਟ੍ਰੇਨ ਦੀ ਬੁਕਿੰਗ ਵਾਰ-ਵਾਰ ਫੇਲ ਹੋ ਰਹੀ ਹੈ,anger
"ਜਦੋਂ ਮੈਨੂੰ ਪਤਾ ਲੱਗਾ ਕਿ ਉਸਨੇ ਮੈਨੂੰ ਆਪਣੇ ਸਭ ਤੋਂ ਚੰਗੇ ਦੋਸਤ ਨਾਲ ਮਿਲਾਉਣ ਦਾ ਪ੍ਰਬੰਧ ਕੀਤਾ, ਤਾਂ ਮੈਂ ਸੱਚਮੁੱਚ ਹੈਰਾਨ ਰਹਿ ਗਿਆ",surprise 
ਤੁਸੀਂ ਇਹ ਕਰਨ ਵਾਲੇ ਕੌਣ ਹੋ|,anger
ਮੈਂ ਹਰ ਸਮੇਂ ਡਰਿਆ ਰਹਿੰਦਾ ਹਾਂ,fear
"ਹੈਰਾਨੀ ਮੁੱਖ ਤੱਤ ਸੀ, ਪਰ ਇੱਕ ਵਹਿਸ਼ੀ ਕਤਲੇਆਮ ਦੀ ਲੋੜ ਨਹੀਂ ਸੀ|",surprise 
"ਉਨ੍ਹਾਂ ਅੱਖਾਂ ਦੇ ਅੰਦਰ ਗੁੱਸਾ ਸੀ, ਗੁੱਸਾ ਇੰਨਾ ਭੜਕਿਆ ਕਿ ਕੈਥਰੀਨ ਹੋਰ ਡਰ ਗਈ",anger
"ਉਹ ਛੇਤੀ ਹੀ ਦੱਸਦੀ ਹੈ ਕਿ ਉਸਦਾ ਬਚਪਨ ਦੁਖੀ ਨਹੀਂ ਸੀ, ਸਿਰਫ਼ ਅਸ਼ਾਂਤ ਸੀ",sad
"ਫਿਰ ਵੀ, ਉਹ 7 ਅੰਕਾਂ ਦਾ ਸੁਨਹਿਰੀ ਪੈਰਾਸ਼ੂਟ ਲੈ ਕੇ ਰਵਾਨਾ ਹੋਇਆ, ਅਤੇ ਸਿਰਫ ਯੂਨਿਟਧਾਰਕ ਨਾਖੁਸ਼ ਸਨ ",sad
"ਓਏ, ਕੀ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ ਕਿ ਮੈਂ ਇੱਕ ਗਧਾ ਹਾਂ?",anger
"ਅਫ਼ਸੋਸ ਦੀ ਗੱਲ ਹੈ ਕਿ ਦੁਨੀਆਂ ਕਈ ਸਾਲਾਂ ਤੋਂ ਝਗੜਾ ਕਰਦੀ ਆ ਰਹੀ ਹੈ ਅਤੇ ਉਸ ਤੋਂ ਅਣਜਾਣ, ਝਗੜਾ ਉਸ ਦੇ ਕਾਰਨ ਹੈ",Neutral
"ਹੁਕਮਰਾਨ ਸਿਧਾਂਤ ਇਹ ਹੈ ਕਿ ਪਾਪ ਦਾ ਡਰ ਪਰਮਾਤਮਾ ਦੇ ਪਿਆਰ ਤੋਂ ਪਹਿਲਾਂ ਹੁੰਦਾ ਹੈ, ਜੋ ਪਛਤਾਵਾ ਵੱਲ ਲੈ ਜਾਂਦਾ ਹੈ",fear
ਕਿਉਂਕਿ ਮੈਂ ਇਹ ਸਾਡੀ ਉਮੀਦ ਨਹੀਂ ਸੀ|,surprise 
"ਉਹ ਇੱਕ ਦਹਿਸ਼ਤਗਰਦ ਸੀ। ਜਿੰਨਾ ਚਿਰ ਉਸਦੇ ਮਾਤਾ-ਪਿਤਾ ਯਾਦ ਕਰ ਸਕਦੇ ਸਨ, ਉਹ ਇੱਕ ਮੁਸ਼ਕਲ ਬੱਚਾ ਸੀ",fear
ਮੈਂ ਪੂਰੀ ਤਰ੍ਹਾਂ ਹੈਰਾਨ ਹਾਂ ਜੋ ਤੁਸੀਂ ਮੈਨੂੰ ਦੱਸਿਆ ਹੈ,surprise 
ਮੈਂ ਭੁਗਤਾਨ ਕਿਵੇਂ ਕਰਾਂ,Neutral
ਇਹ ਕੁੱਕੜ ਬੋਟ ਹੈ,anger
